# moomoo 証券の資産推移チャート（EOD クローズ値）を手動で記録する CSV
# scripts/backfill_eod_history.py で portfolio_snapshots に反映される
#
# 使い方:
#   1. moomoo の資産推移チャートを開き、各 US 営業日の総資産値を確認
#   2. total_equity 列に値を入れる（$、カンマ不要、数値のみ）
#   3. cash も分かれば入れる（任意、空欄なら既存値を保持）
#   4. python3 scripts/backfill_eod_history.py を実行
#
# ルール:
#   - total_equity が空欄の行はスキップ
#   - 日付は YYYY-MM-DD 形式
#   - # で始まる行はコメントとして無視
#   - 何度実行しても OK（既存レコードがあれば UPDATE、なければ INSERT）
#
# 注: save_eod_snapshot.py が自動で記録した日は書く必要なし。
#     ただし cron が走らなかった日 (週次運用時の平日など) は手動で埋める。
date,total_equity,cash
2026-04-06,3111.19,
2026-04-07,3111.19,
2026-04-08,3111.19,
2026-04-09,3111.19,
2026-04-10,3125.67,
2026-04-13,3145.55,
2026-04-14,3180.39,
2026-04-15,3184.29,
2026-04-16,3183.78,
2026-04-17,3199.40,
2026-04-20,3196.63,
2026-04-21,3209.53,
2026-04-22,3251.19,
2026-04-23,3251.19,
2026-04-24,3219.08,
2026-04-27,3199.98,
2026-04-28,3173.93,
2026-04-29,3254.02,
2026-04-30,3249.61,
2026-05-01,3266.52,
2026-05-04,3236.30,
2026-05-05,3288.35,
2026-05-06,3318.70,
2026-05-07,3328.66,
2026-05-08,3446.56,
2026-05-11,3539.87,
2026-05-12,3321.10,
2026-05-13,3349.12,
2026-05-14,3255.72,
2026-05-18,3196.76,
2026-05-19,3165.26,
2026-05-20,3201.54,
2026-05-21,3201.61,
